"Year","Sex","Age Group","County and HSE Region","In-Patients (Number)","Daycases (Number)","In-Patients and Daycases (Number)","Average Length of Stay (Rate)","In-Patient Bed-Days (Number)","Median Length of Stay (Number)","Per 1,000 Population (Rate)"
"2017","Both sexes","0 - 14 years","Dublin City and County","17593","12683","30276","4","70373","2","115.74"
"2017","Both sexes","0 - 14 years","Kildare","3537","2449","5986","3.81","13477","2","109.58"
"2017","Both sexes","0 - 14 years","Limerick","3509","2001","5510","3.65","12809","2","139.1"
"2017","Both sexes","0 - 14 years","Galway","4518","2924","7442","3.74","16893","1","137.91"
"2017","Both sexes","15 - 24 years","Dublin City and County","10326","11599","21925","3.32","34247","2","132.31"
"2017","Both sexes","15 - 24 years","Kildare","2189","1697","3886","3.01","6593","1","136.04"
"2017","Both sexes","15 - 24 years","Limerick","2174","986","3160","2.92","6348","1","125.47"
"2017","Both sexes","15 - 24 years","Galway","2807","1855","4662","2.47","6935","1","146.64"
"2017","Both sexes","25 - 34 years","Dublin City and County","24545","28095","52640","3.14","77174","2","229.24"
"2017","Both sexes","25 - 34 years","Kildare","4654","3608","8262","2.85","13247","2","287.9"
"2017","Both sexes","25 - 34 years","Limerick","3860","2157","6017","3.38","13048","2","234.54"
"2017","Both sexes","25 - 34 years","Galway","5289","4509","9798","2.7","14283","2","301.09"
"2017","Both sexes","35 - 44 years","Dublin City and County","22387","38393","60780","4.16","93054","2","269.4"
"2017","Both sexes","35 - 44 years","Kildare","4387","5683","10070","3.76","16515","2","258.3"
"2017","Both sexes","35 - 44 years","Limerick","3802","4158","7960","3.71","14122","2","264.72"
"2017","Both sexes","35 - 44 years","Galway","5571","7078","12649","3.2","17833","2","309.03"
"2017","Both sexes","45 - 54 years","Dublin City and County","12882","43686","56568","6.04","77843","2","337.75"
"2017","Both sexes","45 - 54 years","Kildare","2551","7132","9683","4.73","12057","2","306.59"
"2017","Both sexes","45 - 54 years","Limerick","2859","5123","7982","3.78","10813","1","313.51"
"2017","Both sexes","45 - 54 years","Galway","3056","9144","12200","4.94","15094","2","358.48"
"2017","Both sexes","55 - 64 years","Dublin City and County","15396","54782","70178","8.25","126965","3","527.55"
"2017","Both sexes","55 - 64 years","Kildare","3030","7984","11014","6.52","19761","3","489.16"
"2017","Both sexes","55 - 64 years","Limerick","3788","7822","11610","4.88","18500","2","522.69"
"2017","Both sexes","55 - 64 years","Galway","3753","12589","16342","5.81","21788","3","584.12"
"2017","Both sexes","65 - 74 years","Dublin City and County","18436","60528","78964","10.28","189483","4","823.56"
"2017","Both sexes","65 - 74 years","Kildare","3347","8671","12018","8.38","28059","4","798.11"
"2017","Both sexes","65 - 74 years","Limerick","4705","8250","12955","6.42","30191","3","758.22"
"2017","Both sexes","65 - 74 years","Galway","4525","13294","17819","7.68","34734","4","884.41"
"2017","Both sexes","75 - 84 years","Dublin City and County","17691","41870","59561","14.36","254104","6","1108.79"
"2017","Both sexes","75 - 84 years","Kildare","2695","6197","8892","10.48","28244","6","1443.98"
"2017","Both sexes","75 - 84 years","Limerick","3803","4571","8374","7.74","29424","4","940.37"
"2017","Both sexes","75 - 84 years","Galway","4217","8316","12533","10","42159","5","1166.08"
"2017","Both sexes","85 years and over","Dublin City and County","9643","11075","20718","18.28","176283","9","1100.79"
"2017","Both sexes","85 years and over","Kildare","1118","890","2008","14.47","16175","8","1039.34"
"2017","Both sexes","85 years and over","Limerick","1511","1148","2659","8.63","13038","6","949.3"
"2017","Both sexes","85 years and over","Galway","2194","2492","4686","13.41","29421","7","1164.51"
"2017","Both sexes","All ages","Dublin City and County","148899","302711","451610","7.38","1099526","3","334.17"
"2017","Both sexes","All ages","Kildare","27508","44311","71819","5.6","154128","2","314.83"
"2017","Both sexes","All ages","Limerick","30011","36216","66227","4.94","148293","2","336.2"
"2017","Both sexes","All ages","Galway","35930","62201","98131","5.54","199140","2","383.09"
"2017","Male","0 - 14 years","Dublin City and County","9811","7526","17337","3.85","37788","2","130.13"
"2017","Male","0 - 14 years","Kildare","1889","1432","3321","3.61","6818","2","118.51"
"2017","Male","0 - 14 years","Limerick","1955","1205","3160","3.79","7402","2","155.27"
"2017","Male","0 - 14 years","Galway","2565","1684","4249","3.42","8762","1","154.09"
"2017","Male","15 - 24 years","Dublin City and County","3105","5375","8480","4.03","12509","2","101.2"
"2017","Male","15 - 24 years","Kildare","649","705","1354","3.06","1987","1","91.57"
"2017","Male","15 - 24 years","Limerick","757","548","1305","3.11","2352","1","101.22"
"2017","Male","15 - 24 years","Galway","951","890","1841","2.74","2605","1","111.77"
"2017","Male","25 - 34 years","Dublin City and County","4307","10244","14551","4.57","19686","2","130.34"
"2017","Male","25 - 34 years","Kildare","682","986","1668","4.06","2768","2","122.31"
"2017","Male","25 - 34 years","Limerick","797","919","1716","3.57","2848","1","135.36"
"2017","Male","25 - 34 years","Galway","918","1654","2572","3.68","3374","1","162.87"
"2017","Male","35 - 44 years","Dublin City and County","5689","14364","20053","6.16","35050","2","180.73"
"2017","Male","35 - 44 years","Kildare","1004","1950","2954","4.1","4112","1","154.89"
"2017","Male","35 - 44 years","Limerick","1183","1838","3021","4.41","5213","1","202.14"
"2017","Male","35 - 44 years","Galway","1276","2945","4221","3.55","4530","1","211.36"
"2017","Male","45 - 54 years","Dublin City and County","6431","17772","24203","6.44","41438","2","296.06"
"2017","Male","45 - 54 years","Kildare","1319","2959","4278","5.24","6915","2","270.78"
"2017","Male","45 - 54 years","Limerick","1368","2487","3855","4.18","5719","1","300.35"
"2017","Male","45 - 54 years","Galway","1498","4004","5502","5.57","8349","2","325.08"
"2017","Male","55 - 64 years","Dublin City and County","7995","26827","34822","8.67","69356","3","546.24"
"2017","Male","55 - 64 years","Kildare","1671","4159","5830","6.88","11504","3","521.65"
"2017","Male","55 - 64 years","Limerick","1996","4433","6429","5.4","10785","2","574.12"
"2017","Male","55 - 64 years","Galway","2109","6595","8704","6.33","13358","3","624.84"
"2017","Male","65 - 74 years","Dublin City and County","9484","32923","42407","10.85","102914","5","938.48"
"2017","Male","65 - 74 years","Kildare","1857","5084","6941","8.56","15888","4","924.73"
"2017","Male","65 - 74 years","Limerick","2511","4774","7285","6.64","16662","4","866.85"
"2017","Male","65 - 74 years","Galway","2565","8230","10795","8.03","20596","4","1069.77"
"2017","Male","75 - 84 years","Dublin City and County","8341","21435","29776","14.21","118554","6","1287.72"
"2017","Male","75 - 84 years","Kildare","1391","4178","5569","10.2","14190","5","1958.16"
"2017","Male","75 - 84 years","Limerick","1830","2381","4211","7.96","14569","4","1028.08"
"2017","Male","75 - 84 years","Galway","2228","4940","7168","10.14","22588","5","1407.7"
"2017","Male","85 years and over","Dublin City and County","3515","5254","8769","17.83","62689","8","1422.38"
"2017","Male","85 years and over","Kildare","454","424","878","14.91","6768","8","1302.67"
"2017","Male","85 years and over","Limerick","548","500","1048","8.5","4659","6","1105.49"
"2017","Male","85 years and over","Galway","892","1364","2256","13.47","12011","7","1604.55"
"2017","Male","All ages","Dublin City and County","58678","141720","200398","8.52","499984","3","303.82"
"2017","Male","All ages","Kildare","10916","21877","32793","6.5","70950","2","288.88"
"2017","Male","All ages","Limerick","12945","19085","32030","5.42","70209","2","325.68"
"2017","Male","All ages","Galway","15002","32306","47308","6.41","96173","2","371.76"
"2017","Female","0 - 14 years","Dublin City and County","7782","5157","12939","4.19","32585","2","100.8"
"2017","Female","0 - 14 years","Kildare","1648","1017","2665","4.04","6659","2","100.17"
"2017","Female","0 - 14 years","Limerick","1554","796","2350","3.48","5407","2","122.01"
"2017","Female","0 - 14 years","Galway","1953","1240","3193","4.16","8131","1","121"
"2017","Female","15 - 24 years","Dublin City and County","7221","6224","13445","3.01","21738","2","164.14"
"2017","Female","15 - 24 years","Kildare","1540","992","2532","2.99","4606","1","183.76"
"2017","Female","15 - 24 years","Limerick","1417","438","1855","2.82","3996","2","150.91"
"2017","Female","15 - 24 years","Galway","1856","965","2821","2.33","4330","1","184.14"
"2017","Female","25 - 34 years","Dublin City and County","20238","17851","38089","2.84","57488","2","322.84"
"2017","Female","25 - 34 years","Kildare","3972","2622","6594","2.64","10479","2","437.88"
"2017","Female","25 - 34 years","Limerick","3063","1238","4301","3.33","10200","2","331.43"
"2017","Female","25 - 34 years","Galway","4371","2855","7226","2.5","10909","2","431.4"
"2017","Female","35 - 44 years","Dublin City and County","16698","24029","40727","3.47","58004","2","355.2"
"2017","Female","35 - 44 years","Kildare","3383","3733","7116","3.67","12403","2","357.32"
"2017","Female","35 - 44 years","Limerick","2619","2320","4939","3.4","8909","2","326.57"
"2017","Female","35 - 44 years","Galway","4295","4133","8428","3.1","13303","2","402.1"
"2017","Female","45 - 54 years","Dublin City and County","6451","25914","32365","5.64","36405","2","377.5"
"2017","Female","45 - 54 years","Kildare","1232","4173","5405","4.17","5142","2","342.44"
"2017","Female","45 - 54 years","Limerick","1491","2636","4127","3.42","5094","1","326.89"
"2017","Female","45 - 54 years","Galway","1558","5140","6698","4.33","6745","2","391.51"
"2017","Female","55 - 64 years","Dublin City and County","7401","27955","35356","7.78","57609","3","510.36"
"2017","Female","55 - 64 years","Kildare","1359","3825","5184","6.08","8257","3","457.14"
"2017","Female","55 - 64 years","Limerick","1792","3389","5181","4.31","7715","2","470.4"
"2017","Female","55 - 64 years","Galway","1644","5994","7638","5.13","8430","2","543.75"
"2017","Female","65 - 74 years","Dublin City and County","8952","27605","36557","9.67","86569","4","721.13"
"2017","Female","65 - 74 years","Kildare","1490","3587","5077","8.17","12171","4","672.27"
"2017","Female","65 - 74 years","Limerick","2194","3476","5670","6.17","13529","3","653.08"
"2017","Female","65 - 74 years","Galway","1960","5064","7024","7.21","14138","3","698.42"
"2017","Female","75 - 84 years","Dublin City and County","9350","20435","29785","14.5","135550","7","973.56"
"2017","Female","75 - 84 years","Kildare","1304","2019","3323","10.78","14054","6","1002.72"
"2017","Female","75 - 84 years","Limerick","1973","2190","4163","7.53","14855","4","865.67"
"2017","Female","75 - 84 years","Galway","1989","3376","5365","9.84","19571","5","948.55"
"2017","Female","85 years and over","Dublin City and County","6128","5821","11949","18.54","113594","9","944.14"
"2017","Female","85 years and over","Kildare","664","466","1130","14.17","9407","7","898.25"
"2017","Female","85 years and over","Limerick","963","648","1611","8.7","8379","6","869.4"
"2017","Female","85 years and over","Galway","1302","1128","2430","13.37","17410","7","928.19"
"2017","Female","All ages","Dublin City and County","90221","160991","251212","6.65","599542","3","363.1"
"2017","Female","All ages","Kildare","16592","22434","39026","5.01","83178","2","340.53"
"2017","Female","All ages","Limerick","17066","17131","34197","4.58","78084","2","346.7"
"2017","Female","All ages","Galway","20928","29895","50823","4.92","102967","2","394.27"
"2018","Both sexes","0 - 14 years","Dublin City and County","17399","12846","30245","4.07","70833","2","114.3"
"2018","Both sexes","0 - 14 years","Kildare","3379","2452","5831","3.71","12551","2","105.7"
"2018","Both sexes","0 - 14 years","Limerick","3350","1803","5153","3.41","11420","2","130.85"
"2018","Both sexes","0 - 14 years","Galway","4609","3600","8209","3.41","15718","1","152.34"
"2018","Both sexes","15 - 24 years","Dublin City and County","10116","12756","22872","3.08","31142","2","133.63"
"2018","Both sexes","15 - 24 years","Kildare","2084","1707","3791","2.55","5320","1","126.35"
"2018","Both sexes","15 - 24 years","Limerick","2085","1071","3156","2.89","6023","2","122.81"
"2018","Both sexes","15 - 24 years","Galway","2687","1766","4453","2.56","6877","1","136.75"
"2018","Both sexes","25 - 34 years","Dublin City and County","23922","26387","50309","3.07","73350","2","223.49"
"2018","Both sexes","25 - 34 years","Kildare","4581","3656","8237","2.6","11928","1","295.68"
"2018","Both sexes","25 - 34 years","Limerick","3714","2240","5954","3.26","12102","2","232.78"
"2018","Both sexes","25 - 34 years","Galway","5429","3651","9080","2.49","13503","1","285.79"
"2018","Both sexes","35 - 44 years","Dublin City and County","22316","38659","60975","3.96","88263","2","263.65"
"2018","Both sexes","35 - 44 years","Kildare","4493","4989","9482","3.18","14297","2","240.95"
"2018","Both sexes","35 - 44 years","Limerick","3744","4083","7827","3.35","12534","2","250.5"
"2018","Both sexes","35 - 44 years","Galway","5503","7259","12762","2.92","16070","1","309.34"
"2018","Both sexes","45 - 54 years","Dublin City and County","13034","44160","57194","6.12","79790","2","333.65"
"2018","Both sexes","45 - 54 years","Kildare","2757","6694","9451","4.87","13420","2","287.91"
"2018","Both sexes","45 - 54 years","Limerick","2892","5192","8084","3.84","11115","1","310.83"
"2018","Both sexes","45 - 54 years","Galway","3225","9388","12613","4.65","14995","2","361.12"
"2018","Both sexes","55 - 64 years","Dublin City and County","15625","57498","73123","8.17","127621","3","538.26"
"2018","Both sexes","55 - 64 years","Kildare","2867","7583","10450","6.02","17266","2","450.63"
"2018","Both sexes","55 - 64 years","Limerick","3388","7362","10750","4.89","16568","2","477.84"
"2018","Both sexes","55 - 64 years","Galway","3847","11736","15583","6.59","25347","2","548.04"
"2018","Both sexes","65 - 74 years","Dublin City and County","18769","60621","79390","10.17","190963","5","802.92"
"2018","Both sexes","65 - 74 years","Kildare","3392","8765","12157","7.44","25235","4","772.41"
"2018","Both sexes","65 - 74 years","Limerick","4851","8514","13365","6.11","29622","3","750.72"
"2018","Both sexes","65 - 74 years","Galway","4997","13998","18995","7.67","38337","4","901.86"
"2018","Both sexes","75 - 84 years","Dublin City and County","18137","44102","62239","14.53","263500","6","1125.19"
"2018","Both sexes","75 - 84 years","Kildare","2810","5796","8606","11.09","31168","5","1303.74"
"2018","Both sexes","75 - 84 years","Limerick","4067","4982","9049","8.25","33563","5","968.53"
"2018","Both sexes","75 - 84 years","Galway","4652","8810","13462","9.73","45250","5","1208.44"
"2018","Both sexes","85 years and over","Dublin City and County","9799","12549","22348","18.55","181730","9","1145.58"
"2018","Both sexes","85 years and over","Kildare","1177","1145","2322","14.59","17173","7","1187.72"
"2018","Both sexes","85 years and over","Limerick","1624","1113","2737","9.49","15411","6","889.5"
"2018","Both sexes","85 years and over","Galway","2390","2317","4707","11.84","28302","6","1138.61"
"2018","Both sexes","All ages","Dublin City and County","149117","309578","458695","7.42","1107189","3","334.05"
"2018","Both sexes","All ages","Kildare","27540","42787","70327","5.39","148356","2","302.23"
"2018","Both sexes","All ages","Limerick","29715","36360","66075","4.99","148356","2","329.34"
"2018","Both sexes","All ages","Galway","37339","62525","99864","5.47","204397","2","385.32"
"2018","Male","0 - 14 years","Dublin City and County","9624","7648","17272","4.11","39548","2","128.04"
"2018","Male","0 - 14 years","Kildare","1824","1446","3270","3.67","6685","1","115.23"
"2018","Male","0 - 14 years","Limerick","1798","1032","2830","3.39","6098","2","139.33"
"2018","Male","0 - 14 years","Galway","2510","2134","4644","3.35","8419","1","168.25"
"2018","Male","15 - 24 years","Dublin City and County","3213","6238","9451","3.78","12159","2","108.88"
"2018","Male","15 - 24 years","Kildare","627","815","1442","2.78","1745","1","92.44"
"2018","Male","15 - 24 years","Limerick","734","523","1257","3.14","2308","1","95.78"
"2018","Male","15 - 24 years","Galway","988","894","1882","3.37","3325","1","112.17"
"2018","Male","25 - 34 years","Dublin City and County","4206","9631","13837","4.34","18269","2","125.46"
"2018","Male","25 - 34 years","Kildare","701","1030","1731","3.64","2549","1","129.4"
"2018","Male","25 - 34 years","Limerick","811","1170","1981","3.07","2492","1","154.37"
"2018","Male","25 - 34 years","Galway","956","1604","2560","3.19","3045","1","165.09"
"2018","Male","35 - 44 years","Dublin City and County","5579","14466","20045","5.83","32550","2","177.52"
"2018","Male","35 - 44 years","Kildare","1048","1829","2877","4.15","4345","2","150.04"
"2018","Male","35 - 44 years","Limerick","1081","1723","2804","3.54","3825","1","180.06"
"2018","Male","35 - 44 years","Galway","1320","2942","4262","3.71","4903","1","213.29"
"2018","Male","45 - 54 years","Dublin City and County","6561","18303","24864","6.64","43538","3","295.87"
"2018","Male","45 - 54 years","Kildare","1370","3007","4377","5.67","7763","2","266.35"
"2018","Male","45 - 54 years","Limerick","1406","2221","3627","3.9","5481","1","276.05"
"2018","Male","45 - 54 years","Galway","1551","4201","5752","4.87","7550","2","331.68"
"2018","Male","55 - 64 years","Dublin City and County","8374","28206","36580","8.99","75293","4","563.23"
"2018","Male","55 - 64 years","Kildare","1458","3764","5222","6.42","9356","3","456.11"
"2018","Male","55 - 64 years","Limerick","1742","4126","5868","5","8715","2","519.98"
"2018","Male","55 - 64 years","Galway","2083","6091","8174","6.91","14402","3","580.83"
"2018","Male","65 - 74 years","Dublin City and County","9673","32492","42165","10.09","97601","4","905.1"
"2018","Male","65 - 74 years","Kildare","1865","4746","6611","8","14914","3","847.02"
"2018","Male","65 - 74 years","Limerick","2544","5021","7565","6.44","16382","3","855.58"
"2018","Male","65 - 74 years","Galway","2795","8258","11053","8.06","22518","4","1048.67"
"2018","Male","75 - 84 years","Dublin City and County","8612","22975","31587","14.1","121428","6","1319.04"
"2018","Male","75 - 84 years","Kildare","1380","3820","5200","11.24","15508","5","1709.96"
"2018","Male","75 - 84 years","Limerick","2036","2816","4852","8.31","16927","5","1131.79"
"2018","Male","75 - 84 years","Galway","2491","5213","7704","9.95","24775","5","1460.2"
"2018","Male","85 years and over","Dublin City and County","3774","6425","10199","17.9","67557","8","1556.39"
"2018","Male","85 years and over","Kildare","513","622","1135","14.95","7671","8","1654.52"
"2018","Male","85 years and over","Limerick","646","480","1126","9.61","6210","6","1023.64"
"2018","Male","85 years and over","Galway","1006","1358","2364","12.26","12335","7","1587.64"
"2018","Male","All ages","Dublin City and County","59616","146384","206000","8.52","507939","3","307.01"
"2018","Male","All ages","Kildare","10786","21079","31865","6.54","70534","2","274.83"
"2018","Male","All ages","Limerick","12798","19112","31910","5.35","68437","2","317.53"
"2018","Male","All ages","Galway","15700","32695","48395","6.45","101270","2","376.35"
"2018","Female","0 - 14 years","Dublin City and County","7775","5198","12973","4.02","31286","2","100.02"
"2018","Female","0 - 14 years","Kildare","1555","1006","2561","3.77","5866","2","95.6"
"2018","Female","0 - 14 years","Limerick","1552","771","2323","3.43","5322","2","121.81"
"2018","Female","0 - 14 years","Galway","2099","1466","3565","3.48","7299","1","135.63"
"2018","Female","15 - 24 years","Dublin City and County","6903","6518","13421","2.75","18983","2","159.08"
"2018","Female","15 - 24 years","Kildare","1457","892","2349","2.45","3576","1","163.07"
"2018","Female","15 - 24 years","Limerick","1351","548","1899","2.75","3715","2","151.03"
"2018","Female","15 - 24 years","Galway","1699","872","2571","2.09","3552","1","162.89"
"2018","Female","25 - 34 years","Dublin City and County","19716","16756","36472","2.79","55081","2","317.67"
"2018","Female","25 - 34 years","Kildare","3880","2626","6506","2.42","9379","2","449.28"
"2018","Female","25 - 34 years","Limerick","2903","1070","3973","3.31","9611","2","311.73"
"2018","Female","25 - 34 years","Galway","4473","2047","6520","2.34","10458","1","400.86"
"2018","Female","35 - 44 years","Dublin City and County","16737","24193","40930","3.33","55713","2","345.82"
"2018","Female","35 - 44 years","Kildare","3445","3160","6605","2.89","9952","2","327.35"
"2018","Female","35 - 44 years","Limerick","2663","2360","5023","3.27","8709","2","320.49"
"2018","Female","35 - 44 years","Galway","4183","4317","8500","2.67","11167","2","399.55"
"2018","Female","45 - 54 years","Dublin City and County","6473","25857","32330","5.6","36253","2","370"
"2018","Female","45 - 54 years","Kildare","1387","3687","5074","4.08","5657","2","309.52"
"2018","Female","45 - 54 years","Limerick","1486","2971","4457","3.79","5634","1","346.34"
"2018","Female","45 - 54 years","Galway","1674","5187","6861","4.45","7446","2","390.16"
"2018","Female","55 - 64 years","Dublin City and County","7251","29292","36543","7.22","52329","3","515.39"
"2018","Female","55 - 64 years","Kildare","1409","3819","5228","5.61","7911","2","445.28"
"2018","Female","55 - 64 years","Limerick","1646","3236","4882","4.77","7853","2","435.43"
"2018","Female","55 - 64 years","Galway","1764","5645","7409","6.2","10945","2","515.91"
"2018","Female","65 - 74 years","Dublin City and County","9096","28129","37225","10.26","93362","5","711.9"
"2018","Female","65 - 74 years","Kildare","1527","4019","5546","6.76","10321","4","699.02"
"2018","Female","65 - 74 years","Limerick","2307","3493","5800","5.74","13240","3","647.25"
"2018","Female","65 - 74 years","Galway","2202","5740","7942","7.18","15819","4","754.8"
"2018","Female","75 - 84 years","Dublin City and County","9525","21127","30652","14.92","142072","6","977.21"
"2018","Female","75 - 84 years","Kildare","1430","1976","3406","10.95","15660","5","956.74"
"2018","Female","75 - 84 years","Limerick","2031","2166","4197","8.19","16637","5","830.1"
"2018","Female","75 - 84 years","Galway","2161","3597","5758","9.48","20476","5","981.92"
"2018","Female","85 years and over","Dublin City and County","6025","6124","12149","18.95","114173","9","937.78"
"2018","Female","85 years and over","Kildare","664","523","1187","14.31","9502","7","935.38"
"2018","Female","85 years and over","Limerick","978","633","1611","9.41","9201","6","814.87"
"2018","Female","85 years and over","Galway","1384","959","2343","11.54","15968","6","885.82"
"2018","Female","All ages","Dublin City and County","89501","163194","252695","6.7","599250","3","359.89"
"2018","Female","All ages","Kildare","16754","21708","38462","4.64","77822","2","329.44"
"2018","Female","All ages","Limerick","16917","17248","34165","4.72","79919","2","341.18"
"2018","Female","All ages","Galway","21639","29830","51469","4.77","103128","2","394.14"
"2019","Both sexes","0 - 14 years","Dublin City and County","16750","12632","29382","4","66979","2","110.58"
"2019","Both sexes","0 - 14 years","Kildare","3325","2165","5490","3.71","12345","2","99.77"
"2019","Both sexes","0 - 14 years","Limerick","3040","1847","4887","3.51","10665","2","123.03"
"2019","Both sexes","0 - 14 years","Galway","4434","3228","7662","3.09","13705","1","141.97"
"2019","Both sexes","15 - 24 years","Dublin City and County","9779","12650","22429","3.18","31140","2","126.58"
"2019","Both sexes","15 - 24 years","Kildare","2067","1634","3701","2.36","4888","1","119.16"
"2019","Both sexes","15 - 24 years","Limerick","1920","1168","3088","2.52","4839","1","122.51"
"2019","Both sexes","15 - 24 years","Galway","2723","2077","4800","2.17","5905","1","146.55"
"2019","Both sexes","25 - 34 years","Dublin City and County","23318","27748","51066","3.21","74765","2","228.53"
"2019","Both sexes","25 - 34 years","Kildare","4472","3585","8057","2.54","11368","2","295.39"
"2019","Both sexes","25 - 34 years","Limerick","3544","2296","5840","3.15","11179","2","232.51"
"2019","Both sexes","25 - 34 years","Galway","5199","3716","8915","2.68","13955","1","282.97"
"2019","Both sexes","35 - 44 years","Dublin City and County","21505","40052","61557","4.2","90336","2","260.44"
"2019","Both sexes","35 - 44 years","Kildare","4424","5836","10260","3.36","14853","2","259.14"
"2019","Both sexes","35 - 44 years","Limerick","3687","4264","7951","3.28","12080","2","253.17"
"2019","Both sexes","35 - 44 years","Galway","5586","7551","13137","3.2","17900","1","317.22"
"2019","Both sexes","45 - 54 years","Dublin City and County","13056","45727","58783","6.31","82413","3","331.49"
"2019","Both sexes","45 - 54 years","Kildare","2651","7374","10025","4.58","12145","2","295.81"
"2019","Both sexes","45 - 54 years","Limerick","2661","5898","8559","3.38","8987","1","320.39"
"2019","Both sexes","45 - 54 years","Galway","3273","10146","13419","5.07","16592","2","373.1"
"2019","Both sexes","55 - 64 years","Dublin City and County","15986","59653","75639","8.14","130083","3","541.86"
"2019","Both sexes","55 - 64 years","Kildare","3011","8348","11359","6.94","20894","3","471.25"
"2019","Both sexes","55 - 64 years","Limerick","3338","8378","11716","4.91","16391","2","511.73"
"2019","Both sexes","55 - 64 years","Galway","3856","13140","16996","6.19","23870","3","582.15"
"2019","Both sexes","65 - 74 years","Dublin City and County","18664","65251","83915","10.57","197289","5","826.02"
"2019","Both sexes","65 - 74 years","Kildare","3615","10148","13763","7.72","27911","4","835.39"
"2019","Both sexes","65 - 74 years","Limerick","4181","9956","14137","6.42","26841","3","775.86"
"2019","Both sexes","65 - 74 years","Galway","5021","14766","19787","8.04","40381","4","908.12"
"2019","Both sexes","75 - 84 years","Dublin City and County","18272","46784","65056","14.53","265431","6","1129.74"
"2019","Both sexes","75 - 84 years","Kildare","3040","5919","8959","11.63","35370","5","1256.52"
"2019","Both sexes","75 - 84 years","Limerick","3728","6805","10533","7.02","26175","4","1071.95"
"2019","Both sexes","75 - 84 years","Galway","4654","9232","13886","10.43","48564","5","1191.01"
"2019","Both sexes","85 years and over","Dublin City and County","9880","13529","23409","18.39","181692","9","1171.09"
"2019","Both sexes","85 years and over","Kildare","1290","1471","2761","14.42","18603","7","1323.59"
